gene_id,log2FoldChange,pvalue,padj
SYN_Solyc_0001,1.72108997,0.00272319,0.01167081
SYN_Solyc_0002,2.32939957,0.00048213,0.00482130
SYN_Solyc_0003,1.55968378,0.00431109,0.01478088
SYN_Solyc_0004,1.79665764,0.00219620,0.01065288
SYN_Solyc_0005,1.63997430,0.00343038,0.01327889
SYN_Solyc_0006,2.45571202,0.00033654,0.00475044
SYN_Solyc_0007,2.09585151,0.00093723,0.00616427
SYN_Solyc_0008,1.73316208,0.00263121,0.01167081
SYN_Solyc_0009,2.43646369,0.00035549,0.00475044
SYN_Solyc_0010,2.02538936,0.00114536,0.00687216
SYN_Solyc_0011,2.49538119,0.00030061,0.00475044
SYN_Solyc_0012,1.30212191,0.00897329,0.02761012
SYN_Solyc_0013,1.44359822,0.00599898,0.01894415
SYN_Solyc_0014,2.40093971,0.00039331,0.00475044
SYN_Solyc_0015,1.83883297,0.00194778,0.01062425
SYN_Solyc_0016,2.09891897,0.00092909,0.00616427
SYN_Solyc_0017,2.45989918,0.00033255,0.00475044
SYN_Solyc_0018,2.08160855,0.00097601,0.00616427
SYN_Solyc_0019,2.41573395,0.00037709,0.00475044
SYN_Solyc_0020,2.39866082,0.00039587,0.00475044
SYN_Solyc_0021,-2.10007185,0.00092604,0.00616427
SYN_Solyc_0022,-1.75701553,0.00245851,0.01134697
SYN_Solyc_0023,-1.57858230,0.00408533,0.01478088
SYN_Solyc_0024,-2.34215417,0.00046494,0.00482130
SYN_Solyc_0025,-2.40008653,0.00039427,0.00475044
SYN_Solyc_0026,-1.51715936,0.00486576,0.01578084
SYN_Solyc_0027,-2.19722618,0.00070233,0.00601997
SYN_Solyc_0028,-1.54509401,0.00449388,0.01497960
SYN_Solyc_0029,-1.81814603,0.00206590,0.01065288
SYN_Solyc_0030,-1.56892089,0.00419923,0.01478088
SYN_Solyc_0031,-1.60472227,0.00379242,0.01422158
SYN_Solyc_0032,-1.27696820,0.00963925,0.02891775
SYN_Solyc_0033,-1.88838662,0.00169156,0.00966606
SYN_Solyc_0034,-2.47438094,0.00031912,0.00475044
SYN_Solyc_0035,-2.23472662,0.00063123,0.00582674
SYN_Solyc_0036,-1.79297362,0.00221935,0.01065288
SYN_Solyc_0037,-2.08290186,0.00097242,0.00616427
