gene_id,Control_1,Control_2,Control_3,High_nitrate_1,High_nitrate_2,High_nitrate_3
SYN_Solyc_0001,9.22131492,8.94341765,9.69366106,10.67326815,11.27603209,11.07236331
SYN_Solyc_0002,8.30171309,8.59885990,8.49178706,11.01365998,10.98709814,10.37980065
SYN_Solyc_0003,11.61801056,11.80558642,12.18342977,13.52476622,13.29292569,13.46838617
SYN_Solyc_0004,8.22048676,8.58470441,8.49570647,9.88841878,10.23062631,10.57182547
SYN_Solyc_0005,11.95103181,12.05660258,11.47182673,13.67082788,13.55823499,13.17032116
SYN_Solyc_0006,9.93142375,10.41863769,9.97469877,12.47915830,12.35890892,12.85382904
SYN_Solyc_0007,6.21224931,5.96079075,6.24587390,8.51945750,8.16066733,8.02634367
SYN_Solyc_0008,10.92015228,10.83028431,10.95523571,12.69141674,12.70013188,12.51360991
SYN_Solyc_0009,9.87380755,9.55620426,9.50736735,12.29700182,11.75815396,12.19161446
SYN_Solyc_0010,9.93680690,9.98738033,10.43856060,12.02731641,12.36433804,12.04726147
SYN_Solyc_0011,6.74333630,6.86115563,6.25514406,9.32809521,9.20433355,8.81335081
SYN_Solyc_0012,6.50046155,6.30889490,6.42620888,7.46316990,7.94594320,7.73281797
SYN_Solyc_0013,10.70256626,10.45396231,10.66539491,12.12233558,11.88905086,12.14133169
SYN_Solyc_0014,10.50183503,10.23873155,9.84760093,12.35571215,12.98770889,12.44756559
SYN_Solyc_0015,10.13873147,10.73542640,10.46981976,12.29229956,12.33793316,12.23024383
SYN_Solyc_0016,9.59977003,9.53133982,9.55787127,11.88170593,11.57960759,11.52442452
SYN_Solyc_0017,11.43206131,11.76078880,11.98690893,14.29983356,13.88710633,14.37251668
SYN_Solyc_0018,5.83034530,6.15528180,6.44296190,8.01219482,8.45876813,8.20245171
SYN_Solyc_0019,7.45709166,7.20055443,7.65531713,9.95537337,9.72458944,9.88020226
SYN_Solyc_0020,7.93808565,8.01244709,7.57313294,10.45446103,10.14273854,10.12244857
SYN_Solyc_0021,10.92119616,11.00960829,11.23964439,9.14856322,8.96905440,8.75261568
SYN_Solyc_0022,8.41817805,8.72451817,8.25597384,6.34274835,6.80187147,6.98300366
SYN_Solyc_0023,7.02902324,6.64136642,6.79839895,5.16477059,4.92428778,5.64398334
SYN_Solyc_0024,9.50695836,9.48784370,9.69937341,6.91041085,7.47358597,7.28371613
SYN_Solyc_0025,11.22179815,11.36791940,11.13896205,8.72420588,9.00146251,8.80275163
SYN_Solyc_0026,11.08389827,11.49967608,11.46790638,9.85803150,9.82099072,9.82098042
SYN_Solyc_0027,6.35832732,6.32624526,6.24342534,3.99027842,4.37150728,3.97453368
SYN_Solyc_0028,8.53573560,8.04832001,7.84795641,6.26723810,6.77690463,6.75258727
SYN_Solyc_0029,10.79371770,10.93119677,10.93696860,9.00925371,9.07372430,9.12446698
SYN_Solyc_0030,7.21937909,6.62329177,6.99036959,5.14540541,5.69028688,5.29058550
SYN_Solyc_0031,6.31186144,6.14553290,6.39150765,4.69195824,4.73844980,4.60432713
SYN_Solyc_0032,7.50421766,7.13946899,7.28805998,6.26997549,5.62072327,6.21014327
SYN_Solyc_0033,10.20038117,9.96456976,10.01852235,8.15686159,8.33071545,8.03073639
SYN_Solyc_0034,9.31010827,9.79046173,9.41105694,7.31324247,6.70590261,7.06933904
SYN_Solyc_0035,10.58242119,10.68153239,10.55804810,8.20372912,8.44682027,8.46727244
SYN_Solyc_0036,9.28636939,9.63952841,9.28078857,7.75278305,7.53299706,7.54198541
SYN_Solyc_0037,11.10325482,11.22617609,10.62132564,8.80890969,8.90682732,8.98631396
SYN_Solyc_0038,10.88440667,11.18641769,11.18393707,8.53307668,8.63006947,8.88721502
SYN_Solyc_0039,7.80508438,7.59380213,7.26857408,5.88327964,5.69355291,6.02304277
